,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
2142,0,0,0,1,21,1,0,1,0,1,0,0,1,0,625,2973,0,1,0,0,0,1,0,0,0,0,1
1623,0,0,0,0,54,1,1,0,1,0,0,1,1,1,1230,5459,0,0,1,0,0,0,1,1,0,0,0
6074,1,0,1,0,1,0,0,0,0,0,0,0,0,1,62,46,1,1,0,0,1,0,0,0,0,1,0
1362,1,0,0,0,4,1,0,0,0,0,0,0,0,1,719,967,1,0,1,0,1,0,0,0,0,1,0
6754,1,0,0,1,0,1,1,1,1,0,1,0,0,1,579,0,0,1,0,0,0,0,1,1,0,0,0
1212,1,0,0,0,7,1,0,0,0,0,0,0,0,1,706,1644,0,0,1,0,1,0,0,0,0,1,0
2722,1,0,1,1,32,1,0,0,0,0,0,0,0,0,8,1827,0,0,0,1,0,0,1,0,0,0,1
4006,1,0,1,1,72,1,0,0,0,0,0,0,0,1,25,3092,0,0,0,1,0,0,1,0,1,0,0
6791,1,0,0,0,19,0,0,0,0,1,0,1,0,1,237,2024,1,1,0,0,1,0,0,0,0,1,0
5466,1,0,0,1,10,1,0,0,0,0,0,0,0,1,28,896,0,0,0,1,0,1,0,1,0,0,0
5852,1,1,1,0,21,1,0,0,0,0,0,0,0,1,697,3180,1,0,1,0,1,0,0,0,0,1,0
4195,0,1,0,0,45,1,1,1,0,0,1,0,1,1,716,4395,0,1,0,0,1,0,0,0,0,1,0
4166,1,1,0,0,32,1,0,0,0,0,0,0,0,0,25,1777,0,0,0,1,0,1,0,0,1,0,0
5234,0,0,1,0,40,1,1,1,0,1,0,1,1,0,1390,5016,0,0,1,0,0,1,0,1,0,0,0
3414,0,0,0,0,47,0,0,1,0,1,1,0,0,0,263,3611,0,1,0,0,0,0,1,0,0,0,1
1803,0,0,0,0,36,0,0,1,1,1,1,0,1,1,423,3633,0,1,0,0,0,0,1,0,0,0,1
6203,0,0,1,1,69,1,1,1,1,1,1,1,0,1,1377,6268,0,0,1,0,0,1,0,0,1,0,0
5285,0,0,1,0,71,1,0,0,1,1,1,1,1,1,914,5700,0,1,0,0,0,0,1,0,1,0,0
1323,0,0,1,0,71,1,1,0,0,0,0,0,0,1,85,3423,0,0,0,1,0,0,1,1,0,0,0
5666,1,0,1,0,35,0,0,1,0,1,0,1,1,0,424,3658,0,1,0,0,0,1,0,0,1,0,0
1941,1,0,0,0,3,1,0,0,0,0,0,0,1,0,452,811,0,1,0,0,1,0,0,0,0,0,1
6601,1,1,1,0,72,1,1,0,1,1,1,1,1,0,1463,6431,0,0,1,0,0,0,1,0,1,0,0
1902,1,0,1,1,72,1,1,1,1,1,1,1,1,1,1105,6016,0,1,0,0,0,0,1,0,1,0,0
3704,0,0,1,1,68,1,1,1,1,1,0,1,0,1,768,5469,0,1,0,0,0,1,0,0,1,0,0
387,0,0,0,0,42,0,0,1,1,1,1,0,1,1,454,3957,0,1,0,0,0,1,0,0,0,1,0
5550,1,1,0,0,21,1,0,0,0,0,0,0,0,0,39,1452,0,0,0,1,0,1,0,1,0,0,0
1032,0,1,0,0,8,1,0,0,0,1,0,1,1,1,1134,2019,1,0,1,0,1,0,0,0,0,1,0
4523,1,1,1,0,10,1,0,1,0,0,0,0,0,0,813,2011,0,0,1,0,1,0,0,0,0,1,0
6582,0,0,0,0,71,1,1,1,1,1,0,1,1,1,1410,6283,0,0,1,0,0,0,1,0,1,0,0
5587,0,1,0,0,46,1,0,0,1,1,0,1,0,1,1119,4964,0,0,1,0,0,1,0,1,0,0,0
3306,0,0,1,1,3,1,0,0,1,0,1,0,0,1,900,977,0,0,1,0,1,0,0,0,0,1,0
6625,0,1,0,0,12,1,1,0,1,0,0,1,0,1,1119,2614,1,0,1,0,1,0,0,0,0,1,0
3316,0,0,1,0,26,0,0,1,1,1,0,1,0,0,339,2749,0,1,0,0,0,1,0,1,0,0,0
1010,1,0,0,0,3,1,0,1,0,0,0,0,0,1,379,715,0,1,0,0,1,0,0,0,0,0,1
3641,0,0,0,0,49,1,0,0,0,1,1,1,1,1,796,4747,0,1,0,0,0,0,1,1,0,0,0
931,1,0,0,0,33,1,0,0,1,0,1,0,0,0,912,4152,0,0,1,0,0,0,1,1,0,0,0
6352,1,0,1,0,42,1,1,1,0,1,0,0,1,1,1176,4900,0,0,1,0,1,0,0,0,0,1,0
691,1,0,1,1,31,1,1,1,1,0,1,0,1,1,812,3952,0,1,0,0,0,1,0,1,0,0,0
533,1,1,1,1,68,1,1,0,0,1,1,1,1,1,1417,6309,0,0,1,0,0,1,0,0,1,0,0
6451,1,1,1,1,66,1,1,1,1,1,1,1,1,1,1562,6421,0,0,1,0,0,1,0,0,0,1,0
